id,cod_autor,nome_autor,partido,uf,ano,tipo_emenda,funcao,funcao_nome,subfuncao,subfuncao_nome,valor_empenhado,valor_pago,descricao
36,220553,Denise Pessôa,PT,RS,2023,Individual,18,Gestao Ambiental,512,Saneamento Basico Urbano,6075500.36,2072017.68,Emenda individual de Denise Pessôa (PT/RS) para Gestao Ambiental - Saneamento Basico Urbano em 2023
37,178832,Leandre,PSD,PR,2022,Comissao,10,Saude,451,Infraestrutura Urbana,11798427.42,5895372.85,Emenda comissao de Leandre (PSD/PR) para Saude - Infraestrutura Urbana em 2022
38,221338,Professora Luciene Cavalcante,PSOL,SP,2023,Individual,15,Urbanismo,181,Policiamento,4520946.6,4421922.3,Emenda individual de Professora Luciene Cavalcante (PSOL/SP) para Urbanismo - Policiamento em 2023
39,234310,Ricardo Galvão,REDE,SP,2020,Bancada,11,Trabalho,782,Transporte Rodoviario,951762.57,674727.63,Emenda bancada de Ricardo Galvão (REDE/SP) para Trabalho - Transporte Rodoviario em 2020
40,227660,Nitinho,PSD,SE,2021,Individual,19,Ciencia e Tecnologia,782,Transporte Rodoviario,7666644.61,6868851.9,Emenda individual de Nitinho (PSD/SE) para Ciencia e Tecnologia - Transporte Rodoviario em 2021
41,73701,Benedita da Silva,PT,RJ,2021,Individual,20,Agricultura,302,Assistencia Hospitalar,14129782.3,9873507.36,Emenda individual de Benedita da Silva (PT/RJ) para Agricultura - Assistencia Hospitalar em 2021
42,73788,Ricardo Barros,PP,PR,2024,Individual,20,Agricultura,301,Atencao Basica,9894860.15,6883447.0,Emenda individual de Ricardo Barros (PP/PR) para Agricultura - Atencao Basica em 2024
43,98615,Ismael,PSD,SC,2022,Individual,26,Transporte,362,Ensino Medio,5997209.12,4618949.45,Emenda individual de Ismael (PSD/SC) para Transporte - Ensino Medio em 2022
44,178873,Helder Salomão,PT,ES,2020,Individual,27,Desporto e Lazer,365,Educacao Infantil,9355272.91,6493453.31,Emenda individual de Helder Salomão (PT/ES) para Desporto e Lazer - Educacao Infantil em 2020
45,220699,Castro Neto,PSD,PI,2021,Individual,12,Educacao,782,Transporte Rodoviario,2073602.9,1128674.88,Emenda individual de Castro Neto (PSD/PI) para Educacao - Transporte Rodoviario em 2021
46,73701,Benedita da Silva,PT,RJ,2022,Individual,08,Assistencia Social,365,Educacao Infantil,12522799.82,9924042.7,Emenda individual de Benedita da Silva (PT/RJ) para Assistencia Social - Educacao Infantil em 2022
47,160558,Paulo Freire Costa,PL,SP,2024,Individual,10,Saude,244,Assistencia Comunitaria,9984491.85,9557664.84,Emenda individual de Paulo Freire Costa (PL/SP) para Saude - Assistencia Comunitaria em 2024
48,220629,Dandara,PT,MG,2020,Bancada,26,Transporte,302,Assistencia Hospitalar,2416173.86,1201392.65,Emenda bancada de Dandara (PT/MG) para Transporte - Assistencia Hospitalar em 2020
49,204364,Eli Borges,PL,TO,2021,Bancada,11,Trabalho,365,Educacao Infantil,12808400.95,8373957.59,Emenda bancada de Eli Borges (PL/TO) para Trabalho - Educacao Infantil em 2021
50,204445,Fernando Mineiro,PT,RN,2020,Bancada,19,Ciencia e Tecnologia,301,Atencao Basica,12457286.53,4121626.96,Emenda bancada de Fernando Mineiro (PT/RN) para Ciencia e Tecnologia - Atencao Basica em 2020
51,74550,João Leão,PP,BA,2022,Individual,04,Administracao,361,Ensino Fundamental,6683349.13,5306360.08,Emenda individual de João Leão (PP/BA) para Administracao - Ensino Fundamental em 2022
52,220532,Rafael Prudente,MDB,DF,2020,Comissao,10,Saude,302,Assistencia Hospitalar,10396192.39,4203575.64,Emenda comissao de Rafael Prudente (MDB/DF) para Saude - Assistencia Hospitalar em 2020
53,220707,Amanda Gentil,PP,MA,2024,Individual,19,Ciencia e Tecnologia,365,Educacao Infantil,6503822.02,2141579.82,Emenda individual de Amanda Gentil (PP/MA) para Ciencia e Tecnologia - Educacao Infantil em 2024
54,204520,Junio Amaral,PL,MG,2020,Comissao,04,Administracao,452,Servicos Urbanos,3230140.42,1533253.39,Emenda comissao de Junio Amaral (PL/MG) para Administracao - Servicos Urbanos em 2020
55,204488,Célio Studart,PSD,CE,2024,Comissao,13,Cultura,511,Saneamento Basico Rural,6155023.11,4520637.09,Emenda comissao de Célio Studart (PSD/CE) para Cultura - Saneamento Basico Rural em 2024
56,220642,Delegado Bruno Lima,PP,SP,2021,Comissao,08,Assistencia Social,452,Servicos Urbanos,12180498.63,11169411.8,Emenda comissao de Delegado Bruno Lima (PP/SP) para Assistencia Social - Servicos Urbanos em 2021
57,204503,Alexandre Padilha,PT,SP,2022,Bancada,06,Seguranca Publica,181,Policiamento,6234526.18,4793945.33,Emenda bancada de Alexandre Padilha (PT/SP) para Seguranca Publica - Policiamento em 2022
58,204407,Fernanda Melchionna,PSOL,RS,2020,Individual,26,Transporte,361,Ensino Fundamental,676996.65,426157.89,Emenda individual de Fernanda Melchionna (PSOL/RS) para Transporte - Ensino Fundamental em 2020
59,227800,Duarte Gonçalves Jr,PSC,MG,2022,Individual,19,Ciencia e Tecnologia,512,Saneamento Basico Urbano,11950647.94,5489133.86,Emenda individual de Duarte Gonçalves Jr (PSC/MG) para Ciencia e Tecnologia - Saneamento Basico Urbano em 2022
60,220554,Alexandre Lindenmeyer,PT,RS,2023,Individual,15,Urbanismo,362,Ensino Medio,12978858.84,12678039.69,Emenda individual de Alexandre Lindenmeyer (PT/RS) para Urbanismo - Ensino Medio em 2023
61,220529,Gilson Daniel,PODE,ES,2024,Individual,13,Cultura,244,Assistencia Comunitaria,14719130.34,9940579.58,Emenda individual de Gilson Daniel (PODE/ES) para Cultura - Assistencia Comunitaria em 2024
62,74057,Alice Portugal,PCdoB,BA,2021,Individual,12,Educacao,364,Ensino Superior,14754903.54,4821607.94,Emenda individual de Alice Portugal (PCdoB/BA) para Educacao - Ensino Superior em 2021
63,220634,Marcelo Lima,SOLIDARIEDADE,SP,2022,Individual,13,Cultura,181,Policiamento,14765114.15,5624800.49,Emenda individual de Marcelo Lima (SOLIDARIEDADE/SP) para Cultura - Policiamento em 2022
64,221329,Ricardo Abrão,UNIÃO,RJ,2020,Bancada,08,Assistencia Social,364,Ensino Superior,125200.05,118677.45,Emenda bancada de Ricardo Abrão (UNIÃO/RJ) para Assistencia Social - Ensino Superior em 2020
65,220667,Pedro Campos,PSB,PE,2021,Individual,15,Urbanismo,181,Policiamento,1142609.79,874058.07,Emenda individual de Pedro Campos (PSB/PE) para Urbanismo - Policiamento em 2021
66,141458,João Carlos Bacelar,PL,BA,2020,Bancada,20,Agricultura,365,Educacao Infantil,4574801.8,2362881.76,Emenda bancada de João Carlos Bacelar (PL/BA) para Agricultura - Educacao Infantil em 2020
67,160510,Luis Tibé,AVANTE,MG,2022,Individual,13,Cultura,451,Infraestrutura Urbana,2958417.39,2264522.38,Emenda individual de Luis Tibé (AVANTE/MG) para Cultura - Infraestrutura Urbana em 2022
68,178832,Leandre,PSD,PR,2021,Bancada,15,Urbanismo,181,Policiamento,4584153.13,3133525.6,Emenda bancada de Leandre (PSD/PR) para Urbanismo - Policiamento em 2021
69,220593,Abilio Brunini,PL,MT,2021,Individual,26,Transporte,364,Ensino Superior,8741773.24,6628833.64,Emenda individual de Abilio Brunini (PL/MT) para Transporte - Ensino Superior em 2021
70,220572,Marussa Boldrin,MDB,GO,2021,Individual,27,Desporto e Lazer,512,Saneamento Basico Urbano,11926657.45,11591308.5,Emenda individual de Marussa Boldrin (MDB/GO) para Desporto e Lazer - Saneamento Basico Urbano em 2021
71,220691,Diego Coronel,PSD,BA,2022,Individual,15,Urbanismo,302,Assistencia Hospitalar,9530818.75,5095478.58,Emenda individual de Diego Coronel (PSD/BA) para Urbanismo - Assistencia Hospitalar em 2022
72,220681,Fábio Macedo,PODE,MA,2021,Bancada,15,Urbanismo,364,Ensino Superior,2295574.04,762933.12,Emenda bancada de Fábio Macedo (PODE/MA) para Urbanismo - Ensino Superior em 2021
73,220607,Max Lemos,SOLIDARIEDADE,RJ,2020,Individual,20,Agricultura,452,Servicos Urbanos,13303439.94,9351914.25,Emenda individual de Max Lemos (SOLIDARIEDADE/RJ) para Agricultura - Servicos Urbanos em 2020
74,122195,Leonardo Gadelha,PSC,PB,2021,Individual,27,Desporto e Lazer,451,Infraestrutura Urbana,10345573.95,9568226.96,Emenda individual de Leonardo Gadelha (PSC/PB) para Desporto e Lazer - Infraestrutura Urbana em 2021
75,205476,Charles Fernandes,PSD,BA,2021,Individual,04,Administracao,451,Infraestrutura Urbana,14373694.03,9523584.57,Emenda individual de Charles Fernandes (PSD/BA) para Administracao - Infraestrutura Urbana em 2021
76,160553,Antonio Brito,PSD,BA,2020,Individual,16,Habitacao,362,Ensino Medio,12041107.37,9239194.82,Emenda individual de Antonio Brito (PSD/BA) para Habitacao - Ensino Medio em 2020
77,233594,Rafael Fera,PODE,RO,2023,Bancada,20,Agricultura,365,Educacao Infantil,10817182.02,7067348.71,Emenda bancada de Rafael Fera (PODE/RO) para Agricultura - Educacao Infantil em 2023
78,204524,Pinheirinho,PP,MG,2023,Individual,27,Desporto e Lazer,361,Ensino Fundamental,11301474.12,10034624.32,Emenda individual de Pinheirinho (PP/MG) para Desporto e Lazer - Ensino Fundamental em 2023
79,74270,Gilberto Nascimento,PSC,SP,2024,Individual,04,Administracao,511,Saneamento Basico Rural,3664763.37,2227849.29,Emenda individual de Gilberto Nascimento (PSC/SP) para Administracao - Saneamento Basico Rural em 2024
80,229333,Gláucia Santiago,PL,MG,2022,Individual,08,Assistencia Social,364,Ensino Superior,8148268.12,3233736.7,Emenda individual de Gláucia Santiago (PL/MG) para Assistencia Social - Ensino Superior em 2022
81,234388,Fabiano Cazeca,PATRIOTA,MG,2021,Bancada,18,Gestao Ambiental,181,Policiamento,1057009.88,618688.56,Emenda bancada de Fabiano Cazeca (PATRIOTA/MG) para Gestao Ambiental - Policiamento em 2021
82,204395,Pedro Lupion,REPUBLICANOS,PR,2020,Individual,27,Desporto e Lazer,451,Infraestrutura Urbana,6360138.41,5936470.1,Emenda individual de Pedro Lupion (REPUBLICANOS/PR) para Desporto e Lazer - Infraestrutura Urbana em 2020
83,220633,Ricardo Salles,NOVO,SP,2024,Individual,11,Trabalho,301,Atencao Basica,187851.65,102610.43,Emenda individual de Ricardo Salles (NOVO/SP) para Trabalho - Atencao Basica em 2024
84,74585,Lincoln Portela,PL,MG,2023,Individual,19,Ciencia e Tecnologia,452,Servicos Urbanos,11046047.51,9498581.53,Emenda individual de Lincoln Portela (PL/MG) para Ciencia e Tecnologia - Servicos Urbanos em 2023
85,225730,Enfermeira Ana Paula,PODE,CE,2022,Individual,27,Desporto e Lazer,362,Ensino Medio,532469.82,285026.13,Emenda individual de Enfermeira Ana Paula (PODE/CE) para Desporto e Lazer - Ensino Medio em 2022
86,220616,Luciano Vieira,PSDB,RJ,2023,Comissao,11,Trabalho,361,Ensino Fundamental,14712757.47,9914729.24,Emenda comissao de Luciano Vieira (PSDB/RJ) para Trabalho - Ensino Fundamental em 2023
87,220662,Lucas Ramos,PSB,PE,2020,Individual,20,Agricultura,122,Administracao Geral,6486330.27,5881778.01,Emenda individual de Lucas Ramos (PSB/PE) para Agricultura - Administracao Geral em 2020
88,227991,Dr Flávio,PL,RJ,2023,Individual,10,Saude,364,Ensino Superior,6875019.94,3686732.08,Emenda individual de Dr Flávio (PL/RJ) para Saude - Ensino Superior em 2023
89,178832,Leandre,PSD,PR,2023,Individual,26,Transporte,511,Saneamento Basico Rural,1320402.87,414036.48,Emenda individual de Leandre (PSD/PR) para Transporte - Saneamento Basico Rural em 2023
90,229112,Pedro Jr,PL,TO,2021,Bancada,10,Saude,365,Educacao Infantil,11740372.44,8878401.41,Emenda bancada de Pedro Jr (PL/TO) para Saude - Educacao Infantil em 2021
91,226708,Allan Garcês,PP,MA,2020,Bancada,08,Assistencia Social,362,Ensino Medio,3654319.63,2307676.33,Emenda bancada de Allan Garcês (PP/MA) para Assistencia Social - Ensino Medio em 2020
92,141408,Cleber Verde,MDB,MA,2023,Bancada,20,Agricultura,362,Ensino Medio,11526781.67,4811882.68,Emenda bancada de Cleber Verde (MDB/MA) para Agricultura - Ensino Medio em 2023
93,141408,Cleber Verde,MDB,MA,2021,Comissao,04,Administracao,452,Servicos Urbanos,1710671.37,543950.55,Emenda comissao de Cleber Verde (MDB/MA) para Administracao - Servicos Urbanos em 2021
94,220563,Icaro de Valmir,PL,SE,2023,Individual,20,Agricultura,244,Assistencia Comunitaria,10753719.11,3798187.08,Emenda individual de Icaro de Valmir (PL/SE) para Agricultura - Assistencia Comunitaria em 2023
95,220646,Felipe Becari,UNIÃO,SP,2022,Comissao,12,Educacao,181,Policiamento,9046133.06,3480396.08,Emenda comissao de Felipe Becari (UNIÃO/SP) para Educacao - Policiamento em 2022
96,74161,Reginaldo Lopes,PT,MG,2022,Individual,04,Administracao,301,Atencao Basica,9956667.98,3467605.93,Emenda individual de Reginaldo Lopes (PT/MG) para Administracao - Atencao Basica em 2022
97,214694,Jorge Goetten,REPUBLICANOS,SC,2023,Bancada,10,Saude,452,Servicos Urbanos,1672529.17,1626620.41,Emenda bancada de Jorge Goetten (REPUBLICANOS/SC) para Saude - Servicos Urbanos em 2023
98,220637,Marina Silva,REDE,SP,2023,Individual,11,Trabalho,361,Ensino Fundamental,7874026.53,5947411.21,Emenda individual de Marina Silva (REDE/SP) para Trabalho - Ensino Fundamental em 2023
99,220667,Pedro Campos,PSB,PE,2023,Individual,04,Administracao,512,Saneamento Basico Urbano,10992290.59,5362884.4,Emenda individual de Pedro Campos (PSB/PE) para Administracao - Saneamento Basico Urbano em 2023
100,227370,Felipe Saliba,PATRIOTA,MG,2022,Comissao,19,Ciencia e Tecnologia,302,Assistencia Hospitalar,3733565.24,2334583.14,Emenda comissao de Felipe Saliba (PATRIOTA/MG) para Ciencia e Tecnologia - Assistencia Hospitalar em 2022
101,178832,Leandre,PSD,PR,2023,Comissao,13,Cultura,301,Atencao Basica,2809413.87,1259976.88,Emenda comissao de Leandre (PSD/PR) para Cultura - Atencao Basica em 2023
102,160598,Flávia Morais,PDT,GO,2024,Bancada,13,Cultura,364,Ensino Superior,4216401.78,1294881.36,Emenda bancada de Flávia Morais (PDT/GO) para Cultura - Ensino Superior em 2024
103,220570,Dr. Ismael Alexandrino,PSD,GO,2023,Individual,12,Educacao,362,Ensino Medio,11396653.34,8928440.67,Emenda individual de Dr. Ismael Alexandrino (PSD/GO) para Educacao - Ensino Medio em 2023
104,204453,Natália Bonavides,PT,RN,2020,Individual,27,Desporto e Lazer,511,Saneamento Basico Rural,3401786.37,2667854.39,Emenda individual de Natália Bonavides (PT/RN) para Desporto e Lazer - Saneamento Basico Rural em 2020
105,227324,Henrique Júnior,PL,MA,2022,Individual,15,Urbanismo,122,Administracao Geral,8010736.77,4789240.36,Emenda individual de Henrique Júnior (PL/MA) para Urbanismo - Administracao Geral em 2022
106,160601,Pr. Marco Feliciano,PL,SP,2023,Individual,13,Cultura,365,Educacao Infantil,3845914.78,1478597.01,Emenda individual de Pr. Marco Feliciano (PL/SP) para Cultura - Educacao Infantil em 2023
107,204351,Dr. Luiz Ovando,PP,MS,2024,Comissao,13,Cultura,302,Assistencia Hospitalar,10383436.96,4507228.62,Emenda comissao de Dr. Luiz Ovando (PP/MS) para Cultura - Assistencia Hospitalar em 2024
108,154178,Milton Vieira,REPUBLICANOS,SP,2024,Comissao,26,Transporte,181,Policiamento,7917089.35,3943495.02,Emenda comissao de Milton Vieira (REPUBLICANOS/SP) para Transporte - Policiamento em 2024
109,220699,Castro Neto,PSD,PI,2022,Individual,19,Ciencia e Tecnologia,362,Ensino Medio,2773679.0,859573.82,Emenda individual de Castro Neto (PSD/PI) para Ciencia e Tecnologia - Ensino Medio em 2022
110,128760,Paulo Marinho Jr,PL,MA,2020,Comissao,06,Seguranca Publica,364,Ensino Superior,8345048.61,6577502.01,Emenda comissao de Paulo Marinho Jr (PL/MA) para Seguranca Publica - Ensino Superior em 2020
111,178963,Covatti Filho,PP,RS,2023,Individual,15,Urbanismo,452,Servicos Urbanos,282754.51,141105.11,Emenda individual de Covatti Filho (PP/RS) para Urbanismo - Servicos Urbanos em 2023
112,188097,Merlong Solano,PT,PI,2021,Comissao,27,Desporto e Lazer,365,Educacao Infantil,3861928.02,3488116.85,Emenda comissao de Merlong Solano (PT/PI) para Desporto e Lazer - Educacao Infantil em 2021
113,141408,Cleber Verde,REPUBLICANOS,MA,2023,Individual,19,Ciencia e Tecnologia,302,Assistencia Hospitalar,8697615.23,6788625.35,Emenda individual de Cleber Verde (REPUBLICANOS/MA) para Ciencia e Tecnologia - Assistencia Hospitalar em 2023
114,220565,Delegada Adriana Accorsi,PT,GO,2024,Comissao,06,Seguranca Publica,511,Saneamento Basico Rural,1369195.54,648634.03,Emenda comissao de Delegada Adriana Accorsi (PT/GO) para Seguranca Publica - Saneamento Basico Rural em 2024
115,220586,Rafael Brito,MDB,AL,2024,Individual,04,Administracao,451,Infraestrutura Urbana,9314433.45,7851932.13,Emenda individual de Rafael Brito (MDB/AL) para Administracao - Infraestrutura Urbana em 2024
116,220600,Lebrão,UNIÃO,RO,2022,Comissao,27,Desporto e Lazer,512,Saneamento Basico Urbano,14851465.78,7630180.71,Emenda comissao de Lebrão (UNIÃO/RO) para Desporto e Lazer - Saneamento Basico Urbano em 2022
117,160665,Augusto Coutinho,REPUBLICANOS,PE,2020,Comissao,20,Agricultura,181,Policiamento,3196039.8,1430923.39,Emenda comissao de Augusto Coutinho (REPUBLICANOS/PE) para Agricultura - Policiamento em 2020
118,220548,Camila Jara,PT,MS,2021,Individual,06,Seguranca Publica,362,Ensino Medio,2432335.97,1425257.18,Emenda individual de Camila Jara (PT/MS) para Seguranca Publica - Ensino Medio em 2021
119,220550,Mauricio Marcon,PODE,RS,2021,Individual,26,Transporte,301,Atencao Basica,4312503.76,3888691.21,Emenda individual de Mauricio Marcon (PODE/RS) para Transporte - Atencao Basica em 2021
120,204358,Beto Pereira,PSDB,MS,2022,Bancada,15,Urbanismo,362,Ensino Medio,9413364.31,7180779.09,Emenda bancada de Beto Pereira (PSDB/MS) para Urbanismo - Ensino Medio em 2022
121,230088,Dra. Mayra Pinheiro,PL,CE,2024,Individual,18,Gestao Ambiental,302,Assistencia Hospitalar,2319942.08,1127358.99,Emenda individual de Dra. Mayra Pinheiro (PL/CE) para Gestao Ambiental - Assistencia Hospitalar em 2024
122,204409,Daniel Trzeciak,PSDB,RS,2021,Bancada,12,Educacao,301,Atencao Basica,8966156.16,7863033.93,Emenda bancada de Daniel Trzeciak (PSDB/RS) para Educacao - Atencao Basica em 2021
123,107283,Gleisi Hoffmann,PT,PR,2023,Bancada,27,Desporto e Lazer,302,Assistencia Hospitalar,10526031.91,10103657.71,Emenda bancada de Gleisi Hoffmann (PT/PR) para Desporto e Lazer - Assistencia Hospitalar em 2023
124,209787,Nikolas Ferreira,PL,MG,2023,Individual,16,Habitacao,512,Saneamento Basico Urbano,693925.68,418034.75,Emenda individual de Nikolas Ferreira (PL/MG) para Habitacao - Saneamento Basico Urbano em 2023
125,220527,Jack Rocha,PT,ES,2020,Individual,20,Agricultura,364,Ensino Superior,14432475.42,12775209.13,Emenda individual de Jack Rocha (PT/ES) para Agricultura - Ensino Superior em 2020
126,235088,Ribeiro Neto,PRD,MA,2022,Individual,20,Agricultura,301,Atencao Basica,11470324.16,4847743.36,Emenda individual de Ribeiro Neto (PRD/MA) para Agricultura - Atencao Basica em 2022
127,74160,Patrus Ananias,PT,MG,2022,Individual,15,Urbanismo,512,Saneamento Basico Urbano,8821411.42,6566211.45,Emenda individual de Patrus Ananias (PT/MG) para Urbanismo - Saneamento Basico Urbano em 2022
128,228042,Naumi Amorim,PSD,CE,2022,Individual,12,Educacao,512,Saneamento Basico Urbano,4883768.01,1822719.5,Emenda individual de Naumi Amorim (PSD/CE) para Educacao - Saneamento Basico Urbano em 2022
